municipality,girls_perc,boys_perc,year,latitude,longitude
Malmö,1.4,3.2,2016,55.60333658969748,13.003550088809796
Malmö,1.4,3.4,2020,55.60333658969748,13.003550088809796
Malung,2.7,5.3,2016,60.715236363636365,13.763004545454542
Mariestad,5.1,9.4,2016,58.63654166666663,13.871930555555549
Mariestad,4.2,9.3,2020,58.63654166666663,13.871930555555549
Mark,2.8,4.9,2016,57.47565660377357,12.614752830188673
Mark,3.8,6.8,2020,57.47565660377357,12.614752830188673
Markaryd,,2.3,2016,56.49996296296296,13.650344444444443
Markaryd,1.3,4.2,2020,56.49996296296296,13.650344444444443
Mellerud,2.3,5.6,2016,58.72681904761905,12.418590476190477
Mellerud,1.9,7.1,2020,58.72681904761905,12.418590476190477
Mjölby,2.6,5.4,2016,58.369167142857115,15.17452571428572
Mjölby,2.7,6.6,2020,58.369167142857115,15.17452571428572
Mölndal,2.0,4.5,2016,57.631622352941264,12.036796470588223
Mölndal,2.7,6.1,2020,57.631622352941264,12.036796470588223
Mönsterås,0.9,4.3,2016,57.039203125000014,16.341443750000003
Mönsterås,1.2,3.8,2020,57.039203125000014,16.341443750000003
Mora,3.6,8.8,2016,60.98937027027028,14.570148648648654
Mora,4.7,8.0,2020,60.98937027027028,14.570148648648654
Mörbylånga,,2.9,2016,56.62342499999998,16.442424999999997
Mörbylånga,1.5,2.7,2020,56.62342499999998,16.442424999999997
Motala,3.0,6.2,2016,58.53874285714287,15.11385535714287
Motala,3.2,6.9,2020,58.53874285714287,15.11385535714287
Mullsjö,,6.4,2016,57.91290625,13.893199999999998
Mullsjö,1.5,6.6,2020,57.91290625,13.893199999999998
Munkedal,3.3,7.1,2016,58.47760588235294,11.663470588235294
Munkedal,5.2,9.1,2020,58.47760588235294,11.663470588235294
Munkfors,,5.8,2016,59.85403333333334,13.554308333333333
Munkfors,3.0,8.6,2020,59.85403333333334,13.554308333333333
Nacka,3.3,5.6,2016,59.30361760000001,18.209370400000008
Nacka,3.9,6.6,2020,59.30361760000001,18.209370400000008
Nacka,3.9,6.6,2020,59.30361760000001,18.209370400000008
Nässjö,1.3,3.4,2016,57.638576363636346,14.669800000000004
Nässjö,2.5,4.8,2020,57.638576363636346,14.669800000000004
Nora,2.0,3.7,2016,59.52281578947369,14.977700000000004
Nora,2.9,6.9,2020,59.52281578947369,14.977700000000004
Norberg,3.8,9.3,2016,60.06094666666669,15.915
Norberg,6.5,11.4,2020,60.06094666666669,15.915
Nordanstig,3.8,9.2,2016,61.9400857142857,17.218799999999998
Nordanstig,3.6,9.8,2020,61.9400857142857,17.218799999999998
Nordmaling,2.4,6.6,2016,63.58994374999999,19.51576875
Nordmaling,2.9,8.0,2020,63.58994374999999,19.51576875
Norrköping,0.9,2.6,2016,58.598326842105,16.171634210526356
Norrköping,1.6,3.8,2020,58.598326842105,16.171634210526356
Norrtälje,4.7,8.9,2016,59.82131176470588,18.64015647058823
Norrtälje,6.0,10.5,2020,59.82131176470588,18.64015647058823
Norrtälje,6.0,10.5,2020,59.82131176470588,18.64015647058823
Norsjö,4.6,7.9,2016,64.9036111111111,19.6485
Norsjö,4.9,15.3,2020,64.9036111111111,19.6485
Nybro,1.5,3.6,2016,56.77502444444443,15.865020000000008
Nybro,2.2,3.1,2020,56.77502444444443,15.865020000000008
Nyköping,2.8,6.8,2016,58.75906034482763,16.994574137931014
Nyköping,4.4,7.4,2020,58.75906034482763,16.994574137931014
Nykvarn,6.7,10.4,2016,59.17809375000002,17.4416375
Nykvarn,6.9,10.9,2020,59.17809375000002,17.4416375
Nykvarn,6.9,10.9,2020,59.17809375000002,17.4416375
Nynäshamn,5.0,12.4,2016,58.9463659090909,17.932018181818183
Nynäshamn,5.9,9.9,2020,58.9463659090909,17.932018181818183
Nynäshamn,5.9,9.9,2020,58.9463659090909,17.932018181818183
Ockelbo,5.1,11.6,2016,60.89798750000001,16.506125000000004
Ockelbo,4.9,16.4,2020,60.89798750000001,16.506125000000004
Öckerö,4.6,8.7,2016,57.724849999999996,11.640087499999998
Öckerö,4.2,7.6,2020,57.724849999999996,11.640087499999998
Ödeshög,2.9,6.9,2016,58.301585714285736,14.93208571428571
Ödeshög,2.8,3.6,2020,58.301585714285736,14.93208571428571
Olofström,4.2,4.6,2016,56.347749999999984,14.72694583333333
Olofström,4.1,6.2,2020,56.347749999999984,14.72694583333333
Örebro,1.4,2.8,2016,59.26130684210519,15.219439473684186
Örebro,2.1,4.7,2020,59.26130684210519,15.219439473684186
Örkelljunga,4.7,6.2,2016,56.27533333333335,13.283905555555558
Örkelljunga,6.4,8.9,2020,56.27533333333335,13.283905555555558
Örnsköldsvik,1.4,5.1,2016,63.301391588785044,18.576257943925224
Örnsköldsvik,3.0,5.8,2020,63.301391588785044,18.576257943925224
Orsa,3.6,6.1,2016,61.09262857142858,14.643092857142857
Orsa,7.0,8.3,2020,61.09262857142858,14.643092857142857
Orust,2.5,7.6,2016,58.17411346153847,11.617157692307684
Orust,5.4,9.5,2020,58.17411346153847,11.617157692307684
Osby,2.1,8.7,2016,56.37502083333334,13.993541666666674
Osby,3.5,11.1,2020,56.37502083333334,13.993541666666674
Oskarshamn,2.6,6.6,2016,57.26990222222221,16.422077777777773
Oskarshamn,2.2,5.9,2020,57.26990222222221,16.422077777777773
Österåker,5.3,10.4,2016,59.481966666666665,18.333673809523823
Österåker,5.5,10.0,2020,59.481966666666665,18.333673809523823
Österåker,5.5,10.0,2020,59.481966666666665,18.333673809523823
Östersund,1.6,4.0,2016,63.168793918918844,14.638939189189209
Östersund,2.7,5.7,2020,63.168793918918844,14.638939189189209
Östhammar,3.7,8.9,2016,60.19191860465114,18.162779069767435
Östhammar,4.4,7.5,2020,60.19191860465114,18.162779069767435
Östhammar,4.4,7.5,2020,60.19191860465114,18.162779069767435
Östra Göinge,3.9,6.9,2016,56.188840000000006,14.104459999999998
Östra Göinge,4.6,10.9,2020,56.188840000000006,14.104459999999998
Ovanåker,3.3,5.3,2016,61.3447724137931,15.898734482758618
Ovanåker,3.2,7.6,2020,61.3447724137931,15.898734482758618
Överkalix,0.0,3.6,2016,66.28810833333333,22.798033333333333
Överkalix,5.3,6.3,2020,66.28810833333333,22.798033333333333
Övertorneå,0.0,,2016,66.42777857142855,23.638364285714285
Övertorneå,4.7,,2020,66.42777857142855,23.638364285714285
Oxelösund,4.1,5.3,2016,58.674523809523805,17.09704285714285
Oxelösund,5.1,9.0,2020,58.674523809523805,17.09704285714285
Pajala,2.2,3.0,2016,67.21007368421054,22.99225789473684
Pajala,2.1,7.1,2020,67.21007368421054,22.99225789473684
Partille,1.6,4.7,2016,57.734567346938796,12.098453061224497
Partille,3.0,5.7,2020,57.734567346938796,12.098453061224497
Perstorp,3.6,8.2,2016,56.15350624999999,13.432225000000003
Perstorp,2.3,9.1,2020,56.15350624999999,13.432225000000003
Piteå,2.3,5.2,2016,65.34648953488369,21.36863139534884
Piteå,3.6,6.7,2020,65.34648953488369,21.36863139534884
Ragunda,2.5,3.3,2016,62.947900000000004,16.590166666666665
Ragunda,,5.3,2020,62.947900000000004,16.590166666666665
Rättvik,1.7,2.8,2016,60.892939999999996,15.103625
Rättvik,3.6,8.6,2020,60.892939999999996,15.103625
Robertsfors,3.0,9.4,2016,64.1588,20.803250000000002
Robertsfors,3.7,7.4,2020,64.1588,20.803250000000002
Ronneby,2.3,4.5,2016,56.24347727272729,15.307904545454544
Ronneby,3.7,5.9,2020,56.24347727272729,15.307904545454544
Säffle,3.2,4.2,2016,59.16111379310344,12.902958620689658
Säffle,2.8,5.8,2020,59.16111379310344,12.902958620689658
Sala,5.8,9.0,2016,59.89841714285716,16.56838857142858
Sala,6.4,10.3,2020,59.89841714285716,16.56838857142858
Salem,5.5,10.6,2016,59.20000000000002,17.733299999999993
Salem,5.4,10.1,2020,59.20000000000002,17.733299999999993
Salem,5.4,10.1,2020,59.20000000000002,17.733299999999993
Sandviken,6.4,10.0,2016,60.586747761194026,16.71037761194031
Sandviken,4.6,9.0,2020,60.586747761194026,16.71037761194031
Säter,4.5,6.4,2016,60.38383888888888,15.598383333333329
Säter,7.1,5.4,2020,60.38383888888888,15.598383333333329
Sävsjö,2.5,5.4,2016,57.40680526315787,14.638368421052627
Sävsjö,2.4,5.5,2020,57.40680526315787,14.638368421052627
Simrishamn,1.3,3.5,2016,55.567890000000006,14.246711999999997
Simrishamn,1.8,4.3,2020,55.567890000000006,14.246711999999997
Sjöbo,3.2,5.9,2016,55.626526923076916,13.724069230769233
Sjöbo,4.4,7.4,2020,55.626526923076916,13.724069230769233
Skara,2.2,5.0,2016,58.39462692307695,13.43791923076923
Skara,3.1,8.7,2020,58.39462692307695,13.43791923076923
Skellefteå,3.8,8.2,2016,64.76634424778756,20.766020353982327
Skellefteå,5.1,8.8,2020,64.76634424778756,20.766020353982327
Skinnskatteberg,4.4,4.2,2016,59.84888181818182,15.701299999999998
Skinnskatteberg,4.5,5.6,2020,59.84888181818182,15.701299999999998
Skövde,2.5,4.4,2016,58.40941549295775,13.834553521126761
Skövde,2.3,6.0,2020,58.40941549295775,13.834553521126761
Skurup,1.6,3.6,2016,55.46347999999999,13.545183333333334
Skurup,2.3,5.2,2020,55.46347999999999,13.545183333333334
Smedjebacken,2.5,5.5,2016,60.13507826086958,15.44405652173913
Smedjebacken,4.8,8.5,2020,60.13507826086958,15.44405652173913
Söderhamn,5.2,5.5,2016,61.301583720930225,17.047402325581395
Söderhamn,5.7,6.6,2020,61.301583720930225,17.047402325581395
Söderköping,1.4,4.3,2016,58.43744999999999,16.315112499999998
Söderköping,2.4,4.6,2020,58.43744999999999,16.315112499999998
Södertälje,4.4,8.4,2016,59.16960857142855,17.612682857142843
Södertälje,4.2,7.8,2020,59.16960857142855,17.612682857142843
Södertälje,4.2,7.8,2020,59.16960857142855,17.612682857142843
Sollefteå,0.9,4.6,2016,63.17388181818185,17.21101136363637
Sollefteå,1.6,5.2,2020,63.17388181818185,17.21101136363637
Solna,2.2,5.5,2016,59.35754071856274,18.006005988023947
Solna,3.6,7.6,2020,59.35754071856274,18.006005988023947
Solna,3.6,7.6,2020,59.35754071856274,18.006005988023947
Sölvesborg,2.3,5.9,2016,56.05936451612907,14.573967741935496
Sölvesborg,6.3,10.0,2020,56.05936451612907,14.573967741935496
Sorsele,,6.5,2016,65.394925,17.68455
Sorsele,,6.7,2020,65.394925,17.68455
Sotenäs,3.3,5.3,2016,58.3765157894737,11.264015789473683
Sotenäs,5.8,9.8,2020,58.3765157894737,11.264015789473683
Staffanstorp,2.2,5.9,2016,55.65203666666668,13.197426666666667
Staffanstorp,3.5,6.7,2020,55.65203666666668,13.197426666666667
Stenungsund,2.5,6.2,2016,58.05593846153848,11.83360512820513
Stenungsund,2.8,4.3,2020,58.05593846153848,11.83360512820513
Stockholm,2.9,6.0,2016,59.32567250922502,18.012277736777563
Stockholm,4.1,7.6,2020,59.32567250922502,18.012277736777563
Stockholm,4.1,7.6,2020,59.32567250922502,18.012277736777563
Storfors,5.2,8.1,2016,59.53179999999999,14.272000000000002
Storfors,6.6,10.7,2020,59.53179999999999,14.272000000000002
Storuman,7.7,9.9,2016,65.1247888888889,17.059816666666666
Storuman,10.2,14.6,2020,65.1247888888889,17.059816666666666
Strängnäs,2.8,6.1,2016,59.34027500000005,17.06807499999999
Strängnäs,4.0,8.1,2020,59.34027500000005,17.06807499999999
Strömstad,3.1,6.0,2016,58.91881714285714,11.202022857142858
Strömstad,2.5,4.6,2020,58.91881714285714,11.202022857142858
Strömsund,1.4,2.7,2016,63.876544117647065,15.51994999999999
Strömsund,2.9,6.2,2020,63.876544117647065,15.51994999999999
Sundbyberg,1.9,4.8,2016,59.36091538461536,17.9726846153846
Sundbyberg,2.8,6.3,2020,59.36091538461536,17.9726846153846
Sundbyberg,2.8,6.3,2020,59.36091538461536,17.9726846153846
Sundsvall,1.9,4.6,2016,62.389248473282215,17.296533969465717
Sundsvall,2.5,5.9,2020,62.389248473282215,17.296533969465717
Sunne,3.1,4.1,2016,59.84491304347826,13.134913043478258
Sunne,3.3,4.8,2020,59.84491304347826,13.134913043478258
Surahammar,2.4,6.4,2016,59.71210625000001,16.210500000000003
Surahammar,6.3,8.4,2020,59.71210625000001,16.210500000000003
Svalöv,2.7,6.9,2016,55.93480833333334,13.106533333333337
Svalöv,3.4,9.0,2020,55.93480833333334,13.106533333333337
Svedala,4.3,7.5,2016,55.512514814814814,13.22903703703703
Svedala,4.5,8.5,2020,55.512514814814814,13.22903703703703
Svenljunga,1.7,4.6,2016,57.45277187499999,13.058665624999998
Svenljunga,1.7,5.6,2020,57.45277187499999,13.058665624999998
Täby,3.3,6.3,2016,59.444308108108245,18.06842612612615
Täby,4.3,8.7,2020,59.444308108108245,18.06842612612615
Täby,4.3,8.7,2020,59.444308108108245,18.06842612612615
Tanum,4.3,9.2,2016,58.69234583333333,11.31852083333333
Tanum,4.7,8.2,2020,58.69234583333333,11.31852083333333
Tibro,1.6,6.2,2016,58.43938181818182,14.152531818181814
Tibro,1.7,6.7,2020,58.43938181818182,14.152531818181814
Tidaholm,4.9,11.7,2016,58.180112499999986,13.941220833333333
Tidaholm,4.5,8.6,2020,58.180112499999986,13.941220833333333
Tierp,1.8,7.4,2016,60.324173170731704,17.515065853658538
Tierp,4.0,7.5,2020,60.324173170731704,17.515065853658538
Tierp,4.0,7.5,2020,60.324173170731704,17.515065853658538
Timrå,3.4,6.1,2016,62.484194999999985,17.330995
Timrå,4.2,7.1,2020,62.484194999999985,17.330995
Tingsryd,,4.0,2016,56.54716000000001,14.963806666666672
Tingsryd,2.8,5.6,2020,56.54716000000001,14.963806666666672
Tjörn,2.5,7.3,2016,57.98688249999999,11.611787499999997
Tjörn,3.8,5.5,2020,57.98688249999999,11.611787499999997
Tomelilla,2.3,5.3,2016,55.56181304347827,13.984256521739125
Tomelilla,4.0,7.6,2020,55.56181304347827,13.984256521739125
Töreboda,3.8,11.4,2016,58.683244000000016,14.121684
Töreboda,6.6,12.7,2020,58.683244000000016,14.121684
Torsås,,4.3,2016,56.438244,16.039952000000003
Torsås,2.0,6.5,2020,56.438244,16.039952000000003
Torsby,1.9,3.5,2016,60.25510399999999,13.007987999999996
Torsby,3.0,6.0,2020,60.25510399999999,13.007987999999996
Tranås,1.2,5.1,2016,58.031071052631575,14.943268421052638
Tranås,1.9,5.6,2020,58.031071052631575,14.943268421052638
Tranemo,1.0,2.2,2016,57.53374871794873,13.390592307692309
Tranemo,1.1,5.4,2020,57.53374871794873,13.390592307692309
Trelleborg,3.3,7.3,2016,55.389396491228105,13.203154385964906
Trelleborg,3.4,7.5,2020,55.389396491228105,13.203154385964906
Trollhättan,1.7,4.7,2016,58.2793114754098,12.281237704918016
Trollhättan,3.2,6.4,2020,58.2793114754098,12.281237704918016
Trosa,3.4,9.4,2016,58.907577777777774,17.499759259259257
Trosa,8.3,13.0,2020,58.907577777777774,17.499759259259257
Tyresö,4.0,8.1,2016,59.23528936170212,18.30191063829786
Tyresö,4.8,10.3,2020,59.23528936170212,18.30191063829786
Tyresö,4.8,10.3,2020,59.23528936170212,18.30191063829786
Uddevalla,1.2,3.0,2016,58.3161135135135,11.936189189189196
Uddevalla,2.3,4.1,2020,58.3161135135135,11.936189189189196
Ulricehamn,0.6,3.1,2016,57.81299302325581,13.408327906976744
Ulricehamn,1.8,3.9,2020,57.81299302325581,13.408327906976744
Umeå,1.9,4.4,2016,63.83457129629646,20.260061111111106
Umeå,2.3,4.6,2020,63.83457129629646,20.260061111111106
Uppsala,2.3,5.8,2016,59.86716459854032,17.658267883211696
Uppsala,3.1,6.7,2020,59.86716459854032,17.658267883211696
Uppsala,3.1,6.7,2020,59.86716459854032,17.658267883211696
Uppvidinge,2.0,4.6,2016,57.10058333333334,15.365716666666666
Uppvidinge,1.9,5.5,2020,57.10058333333334,15.365716666666666
Vadstena,,8.0,2016,58.44975999999997,14.886720000000002
Vadstena,1.9,7.7,2020,58.44975999999997,14.886720000000002
Vaggeryd,0.8,3.2,2016,57.49003333333334,14.116976190476194
Vaggeryd,1.3,4.0,2020,57.49003333333334,14.116976190476194
Valdemarsvik,2.6,3.8,2016,58.21631666666664,16.608705555555563
Valdemarsvik,2.3,3.3,2020,58.21631666666664,16.608705555555563
Vallentuna,4.2,11.5,2016,59.533404347826085,18.09420217391304
Vallentuna,5.8,12.9,2020,59.533404347826085,18.09420217391304
Vallentuna,5.8,12.9,2020,59.533404347826085,18.09420217391304
Vänersborg,1.7,3.6,2016,58.378074545454595,12.337658181818167
Vänersborg,1.9,5.0,2020,58.378074545454595,12.337658181818167
Vännäs,,5.9,2016,63.91176874999999,19.771387500000003
Vännäs,1.9,7.5,2020,63.91176874999999,19.771387500000003
Vansbro,2.1,6.6,2016,60.46333571428571,14.499821428571428
Vansbro,6.3,8.7,2020,60.46333571428571,14.499821428571428
Vara,4.8,10.7,2016,58.27788620689655,13.014831034482754
Vara,4.0,10.2,2020,58.27788620689655,13.014831034482754
Varberg,3.6,6.4,2016,57.12225166666664,12.282963333333347
Varberg,5.8,8.5,2020,57.12225166666664,12.282963333333347
Vårgårda,1.7,4.7,2016,58.03403913043478,12.778995652173913
Vårgårda,,5.3,2020,58.03403913043478,12.778995652173913
Värmdö,3.3,8.0,2016,59.333863513513485,18.464564864864872
Värmdö,4.5,9.4,2020,59.333863513513485,18.464564864864872
Värmdö,4.5,9.4,2020,59.333863513513485,18.464564864864872
Värnamo,1.0,2.7,2016,57.18556530612247,14.03074693877551
Värnamo,2.0,3.8,2020,57.18556530612247,14.03074693877551
Västerås,1.9,4.7,2016,59.615167701863555,16.55133354037264
Västerås,3.3,6.5,2020,59.615167701863555,16.55133354037264
Västervik,3.2,6.5,2016,57.79942878787882,16.55428484848484
Västervik,4.5,7.8,2020,57.79942878787882,16.55428484848484
Vaxholm,2.5,5.8,2016,59.40227826086956,18.352465217391316
Vaxholm,5.6,8.8,2020,59.40227826086956,18.352465217391316
Vaxholm,5.6,8.8,2020,59.40227826086956,18.352465217391316
Växjö,1.4,3.7,2016,56.877266304347835,14.812383695652157
Växjö,2.2,4.8,2020,56.877266304347835,14.812383695652157
Vellinge,2.5,4.9,2016,55.441327272727314,12.955487272727273
Vellinge,3.0,6.7,2020,55.441327272727314,12.955487272727273
Vetlanda,2.3,5.4,2016,57.44515999999996,15.092022857142862
Vetlanda,2.6,6.5,2020,57.44515999999996,15.092022857142862
Vilhelmina,3.5,9.0,2016,64.56896363636363,16.894954545454542
Vilhelmina,7.2,12.7,2020,64.56896363636363,16.894954545454542
Vimmerby,1.4,4.5,2016,57.680040476190456,15.9081619047619
Vimmerby,2.4,6.9,2020,57.680040476190456,15.9081619047619
Vindeln,3.3,7.4,2016,64.25790714285714,19.57968571428572
Vindeln,5.5,6.4,2020,64.25790714285714,19.57968571428572
Vingåker,3.1,5.9,2016,59.13092666666668,16.03093333333333
Vingåker,5.3,7.1,2020,59.13092666666668,16.03093333333333
Vingåker,5.3,7.1,2020,59.13092666666668,16.03093333333333
Ystad,2.1,3.7,2016,55.45339622641511,13.816128301886787
Ystad,2.3,4.6,2020,55.45339622641511,13.816128301886787
Upplands Väsby,6.3,9.8,2020,59.52182499999997,17.90558382352944
Upplands Väsby,6.3,9.8,2020,59.52182499999997,17.90558382352944
Sollentuna,4.4,6.9,2020,59.428209210526276,17.952450000000027
Sollentuna,4.4,6.9,2020,59.428209210526276,17.952450000000027
Sigtuna,3.6,6.6,2020,59.60616470588235,17.736970588235295
Sigtuna,3.6,6.6,2020,59.60616470588235,17.736970588235295
